timestamp,D2_NYPD_Precinct_014
2019-01-07,199
2019-01-14,186
2019-01-21,163
2019-01-28,187
2019-02-04,161
2019-02-11,185
2019-02-18,182
2019-02-25,183
2019-03-04,135
2019-03-11,179
2019-03-18,168
2019-03-25,180
2019-04-01,192
2019-04-08,170
2019-04-15,175
2019-04-22,200
2019-04-29,195
2019-05-06,181
2019-05-13,155
2019-05-20,176
2019-05-27,190
2019-06-03,198
2019-06-10,175
2019-06-17,202
2019-06-24,215
2019-07-01,196
2019-07-08,187
2019-07-15,196
2019-07-22,164
2019-07-29,198
2019-08-05,194
2019-08-12,193
2019-08-19,183
2019-08-26,191
2019-09-02,184
2019-09-09,200
2019-09-16,207
2019-09-23,181
2019-09-30,195
2019-10-07,184
2019-10-14,237
2019-10-21,173
2019-10-28,206
2019-11-04,212
2019-11-11,173
2019-11-18,158
2019-11-25,178
2019-12-02,192
2019-12-09,212
2019-12-16,207
2019-12-23,170
2019-12-30,162
2020-01-06,184
2020-01-13,161
2020-01-20,172
2020-01-27,212
2020-02-03,179
2020-02-10,181
2020-02-17,176
2020-02-24,154
2020-03-02,185
2020-03-09,183
2020-03-16,164
2020-03-23,68
2020-03-30,55
2020-04-06,42
2020-04-13,62
2020-04-20,56
2020-04-27,58
2020-05-04,78
2020-05-11,67
2020-05-18,79
2020-05-25,71
2020-06-01,231
2020-06-08,78
2020-06-15,80
2020-06-22,97
2020-06-29,102
2020-07-06,100
2020-07-13,111
2020-07-20,108
2020-07-27,119
2020-08-03,111
2020-08-10,130
2020-08-17,140
2020-08-24,142
2020-08-31,100
2020-09-07,129
2020-09-14,148
2020-09-21,115
2020-09-28,157
2020-10-05,173
2020-10-12,131
2020-10-19,158
2020-10-26,192
2020-11-02,135
2020-11-09,141
2020-11-16,134
2020-11-23,156
2020-11-30,156
2020-12-07,158
2020-12-14,147
2020-12-21,151
2020-12-28,133
2021-01-04,150
2021-01-11,130
2021-01-18,169
2021-01-25,154
2021-02-01,144
2021-02-08,138
2021-02-15,154
2021-02-22,166
2021-03-01,174
2021-03-08,172
2021-03-15,188
2021-03-22,178
2021-03-29,193
2021-04-05,171
2021-04-12,164
2021-04-19,180
2021-04-26,147
